#: table_doi: 10.17182/hepdata.91136.v1/t5
#: name: Table 5
#: description: Prompt HNL search observed and expected 95% confidence level exclusion upper limits in $|U_{e}|^2$ as a function of HNL mass.
#: data_file: HEPdata_limit_HNLprompt_el.yaml
#: keyword SQRT(S): 13000
#: keyword LUMINOSITY: 36.1
#: keyword reactions: P P --> W X
#: keyword observables: CLS
#: Limit,Observed
#: SQRT(S) [GeV],13000
#: LUMINOSITY [fb$^{-1}$],36.1
mass [GeV],limit [dimensionless],1-sigma +,1-sigma -
5,0.000185008,0,0
10,4.09606e-05,0,0
20,1.43181e-05,0,0
30,1.53212e-05,0,0
50,3.79762e-05,0,0

#: Limit,Expected
#: SQRT(S) [GeV],13000
#: LUMINOSITY [fb$^{-1}$],36.1
mass [GeV],expected_limit [dimensionless],1-sigma +,1-sigma -
5,0.000170629,4.61288e-05,-4.61288e-05
10,3.9572e-05,9.50688e-06,-9.50688e-06
20,1.1025e-05,3.27193e-06,-3.27193e-06
30,1.44817e-05,4.16102e-06,-4.16102e-06
50,3.65444e-05,1.19365e-05,-1.19365e-05

