#: table_doi: 10.17182/hepdata.91136.v1/t8
#: name: Table 8
#: description: Displaced HNL search expected 95% confidence level exclusion contour in $|U_{\mu}|^2$ as a function of HNL mass (LNV case).
#: data_file: HEPdata_expectedlimit_HNLdisplaced_mu_LNV.yaml
#: keyword SQRT(S): 13000
#: keyword LUMINOSITY: 36.1
#: keyword reactions: P P --> W X
#: keyword observables: CLS
#: Limit,Expected
#: SQRT(S) [GeV],13000
#: LUMINOSITY [fb$^{-1}$],36.1
mass [GeV],expected_limit [dimensionless]
5.34589,0.000170545
5.43125,0.000155339
5.64875,0.000121265
5.68638,0.000116076
5.86625,9.37353e-05
6.01371,7.9003e-05
6.08375,7.26104e-05
6.30125,5.57913e-05
6.33321,5.37708e-05
6.51875,4.31373e-05
6.65466,3.65973e-05
6.73625,3.31564e-05
6.95375,2.54649e-05
6.97229,2.49088e-05
7.17125,1.96846e-05
7.29468,1.69533e-05
7.38875,1.50203e-05
7.58751,1.15387e-05
7.60625,1.11894e-05
7.82375,7.95334e-06
7.83255,7.85346e-06
8.03603,5.3452e-06
8.04125,5.23399e-06
8.16198,3.63803e-06
8.12186,2.47611e-06
8.04125,2.26664e-06
7.82375,1.98029e-06
7.60625,1.87233e-06
7.38875,1.87525e-06
7.17125,1.95519e-06
6.95375,2.06907e-06
6.73625,2.21886e-06
6.51875,2.42504e-06
6.47875,2.47611e-06
6.30125,2.67296e-06
6.08375,2.97721e-06
5.86625,3.40023e-06
5.77204,3.63803e-06
5.64875,3.91916e-06
5.43125,4.60995e-06
5.28435,5.3452e-06
5.21375,5.68225e-06
4.99625,7.25274e-06
4.94165,7.85346e-06
4.77875,9.7873e-06
4.69213,1.15387e-05
4.56125,1.51454e-05
4.50951,1.69533e-05
4.35473,2.49088e-05
4.34375,2.56701e-05
4.24205,3.65973e-05
4.175,5.37708e-05
4.13069,7.9003e-05
4.12625,8.46048e-05
4.10233,0.000116076
4.09476,0.000170545
4.11959,0.000250573
4.12625,0.000264895
4.19626,0.000368156
4.34375,0.000501581
4.56125,0.000442647
4.70164,0.000368156
4.77875,0.000331523
4.98814,0.000250573
4.99625,0.00024784
5.21375,0.000197074
5.34589,0.000170545

