# m4(GeV) Umu4^2
5.04055986e-1 8.16196067e-9
7.79744752e-1 3.49969197e-9
1.24583702e+0 9.40072917e-10
1.39503158e+0 7.60740572e-10
1.56209286e+0 6.70290582e-10
1.72112380e+0 7.00048019e-10
1.86594926e+0 9.84595784e-10
1.97451861e+0 1.94579407e-9
2.32079442e+0 1.94870073e-9
2.53649005e+0 2.12350456e-9
2.79472079e+0 2.98708903e-9
3.02988500e+0 4.77315523e-9
3.18037826e+0 5.90716081e-9
3.50416090e+0 5.20403855e-9
3.73812840e+0 4.99027022e-9
3.95562960e+0 5.67254840e-9
4.02006581e+0 6.72583238e-9
4.05267646e+0 9.86416228e-9

