# MN(MeV) |Umu4|^2
1.14535675e+1 1.49818790e-5
1.23255504e+1 1.23380435e-5
1.31975968e+1 1.03219812e-5
1.40696856e+1 8.72645132e-6
1.49418167e+1 7.45538563e-6
1.58139831e+1 6.42540863e-6
1.66861849e+1 5.58636862e-6
1.75584572e+1 4.94259269e-6
1.84307013e+1 4.34251670e-6
1.93030019e+1 3.86905843e-6
2.01753342e+1 3.47446113e-6
2.10476948e+1 3.14201449e-6
2.19201012e+1 2.87386635e-6
2.27924653e+1 2.60116028e-6
2.45373348e+1 2.20678996e-6
2.62823877e+1 1.95932063e-6
2.71548577e+1 1.82054178e-6
2.97726137e+1 1.59114005e-6
3.41363051e+1 1.53644004e-6
3.50089586e+1 1.49403710e-6
3.58815275e+1 1.42262841e-6
3.67541246e+1 1.36414372e-6
3.76267499e+1 1.31724736e-6
3.84993681e+1 1.26974031e-6
3.93720005e+1 1.22823581e-6
4.02446470e+1 1.19225152e-6
4.11173006e+1 1.15934756e-6
4.19899612e+1 1.12932530e-6
4.28626430e+1 1.10586824e-6
4.37353248e+1 1.08289839e-6
4.46080137e+1 1.06226207e-6
4.54807378e+1 1.05117213e-6
4.63534549e+1 1.03838011e-6
4.72261650e+1 1.02395116e-6
4.80989033e+1 1.01681205e-6
4.89716698e+1 1.01681205e-6
4.98444363e+1 1.01681205e-6
5.07172028e+1 1.01681205e-6
5.15899693e+1 1.01681205e-6
5.24627429e+1 1.01859215e-6
5.33355871e+1 1.03838011e-6
5.42083889e+1 1.04750127e-6
5.50812048e+1 1.06040565e-6
5.59540349e+1 1.07723087e-6
5.68268650e+1 1.09432305e-6
5.76997021e+1 1.11363262e-6
5.85725392e+1 1.13328290e-6
5.94453763e+1 1.15327992e-6
6.03182346e+1 1.17980449e-6
6.11910858e+1 1.20482986e-6
6.20639512e+1 1.23469780e-6
6.29368024e+1 1.26088753e-6
6.38096607e+1 1.28988699e-6
6.46825190e+1 1.31955342e-6
6.55553985e+1 1.35700425e-6
6.64282709e+1 1.39307918e-6
6.73011575e+1 1.43512481e-6
6.81740369e+1 1.47585573e-6
6.90469376e+1 1.52572779e-6
6.99198312e+1 1.57452866e-6
7.07927318e+1 1.62773507e-6
7.16656396e+1 1.68568534e-6
7.25385473e+1 1.74569875e-6
7.34114762e+1 1.81736019e-6
7.42844051e+1 1.89196335e-6
7.51573269e+1 1.96618686e-6
7.60302840e+1 2.06127083e-6
7.69032270e+1 2.15340663e-6
7.77761771e+1 2.25359916e-6
7.86491413e+1 2.36671836e-6
7.95221196e+1 2.49422579e-6
8.03950979e+1 2.62860271e-6
8.12680904e+1 2.77992716e-6
8.21410969e+1 2.95026591e-6
8.30141176e+1 3.14201449e-6
8.38871383e+1 3.34622552e-6
8.47602013e+1 3.60130635e-6
8.56332573e+1 3.86905843e-6
8.65063415e+1 4.18590210e-6
8.73794469e+1 4.55251897e-6
8.82525664e+1 4.96859664e-6
8.91256930e+1 5.43219507e-6
8.99988407e+1 5.97029639e-6
9.08720449e+1 6.65416465e-6
9.17452774e+1 7.46843752e-6
9.26184958e+1 8.35308079e-6
9.34918271e+1 9.60766484e-6
9.43651443e+1 1.10120894e-5
9.52385109e+1 1.27772999e-5
9.61119692e+1 1.51664439e-5
9.69855053e+1 1.83520452e-5
9.78591119e+1 2.25986021e-5
9.87328033e+1 2.84180552e-5
9.95338418e+1 3.64303352e-5
1.00189306e+2 4.54127444e-5
1.00772040e+2 5.66098924e-5
1.01354912e+2 7.30163099e-5
1.01865031e+2 9.36846663e-5
1.02302389e+2 1.19261089e-4
1.02812731e+2 1.61687352e-4
1.03177288e+2 2.02259956e-4
1.03469339e+2 2.67579127e-4
1.03907290e+2 3.94541062e-4
1.04464409e+2 9.42700870e-4
1.04202389e+2 6.03967258e-4
3.29513741e+1 1.48529014e-6
3.13157296e+1 1.50131073e-6
2.83422066e+1 1.68032438e-6
1.00624198e+1 2.09086576e-5
