# m4(GeV) Ue4^2
1.00437463e+1 2.35881416e-5
1.06448135e+1 1.92599347e-5
1.19732254e+1 1.32750403e-5
1.34674155e+1 9.83075116e-6
1.51480719e+1 7.72106232e-6
1.70384648e+1 6.11272280e-6
1.91647678e+1 5.10783432e-6
2.15564213e+1 4.68857936e-6
2.42465395e+1 4.55425489e-6
2.72723691e+1 4.49320486e-6
2.96509024e+1 4.46114659e-6
3.04377343e+1 4.16798550e-6
3.45039700e+1 4.62675783e-6
3.91065731e+1 4.90913671e-6
4.35818761e+1 5.67791361e-6
4.87698768e+1 7.42760344e-6
5.39204558e+1 1.04339844e-5
6.01377146e+1 1.51639313e-5
6.24692981e+1 3.08765714e-5
6.53315626e+1 5.05555272e-5
6.77972390e+1 8.42358676e-5
7.48055205e+1 3.17574058e-4
7.48056000e+1 1.000000000e0
8.60195400e+1 1.000000000e0
8.60195480e+1 1.13592734e-3
9.97819835e+1 8.80337996e-4
1.24119170e+2 2.27999334e-3
1.26857905e+2 1.99018289e-3
1.46331760e+2 2.50037428e-3
1.64593128e+2 3.01811578e-3
1.85133410e+2 3.61887666e-3
2.08237001e+2 4.65227975e-3
2.47380196e+2 7.49098186e-3
2.51737472e+2 1.55554263e-2
2.97995192e+2 2.22721995e-2
3.35183289e+2 2.94318561e-2
3.96373184e+2 4.61537127e-2
4.05119304e+2 3.63819195e-2
4.82405580e+2 5.19836965e-2
6.03459133e+2 8.02312392e-2
6.78767384e+2 1.09888575e-1
7.63473675e+2 1.54546217e-1
8.58750827e+2 2.20305497e-1
9.65918023e+2 3.24821727e-1
1.11044648e+3 5.15438817e-1
1.22204296e+3 7.52118910e-1
1.35146775e+3 1.18522482e+0
1.48768796e+3 1.87526536e+0
