# m4(GeV) Umu4^2
1.00593219e+1 1.85879189e-5
1.24490998e+1 8.23882702e-6
1.50826350e+1 4.84279576e-6
1.76615190e+1 3.83826199e-6
2.02444782e+1 2.94272718e-6
2.51661211e+1 2.49249683e-6
3.01069072e+1 2.49249683e-6
3.99034597e+1 2.66367215e-6
4.05913724e+1 2.84660313e-6
4.98234695e+1 3.53245732e-6
6.01272258e+1 6.42232542e-6
7.51476917e+1 1.96457779e-4
7.53460966e+1 1.00000000e+0
8.56382534e+1 1.00000000e+0
8.58308865e+1 1.44096637e-3
1.00507080e+2 1.16119149e-3
1.24990756e+2 3.53245732e-3
1.26049957e+2 2.57666342e-3
1.50804688e+2 3.04209713e-3
1.99898940e+2 4.76304424e-3
2.02498791e+2 6.97830585e-3
2.53927980e+2 1.00555041e-2
2.98669382e+2 1.40163397e-2
4.01041564e+2 3.00860647e-2
5.15958191e+2 4.86967525e-2
6.01685711e+2 5.94344792e-2
7.57771248e+2 1.04527550e-1
9.02810903e+2 1.66400201e-1
1.00460689e+3 2.60534586e-1
1.20715819e+3 4.21696503e-1
1.50106204e+3 9.05171287e-1
